date_start,date_end,event_name,event_url,even_loc
2016-09-19,2016-09-23,MSSC2016 - Ab initio Modelling in Solid State Chemistry,http://www.imperial.ac.uk/mssc2016,"London, UK"
2016-09-20,2016-09-23,Structural Bioinformatics 2016,http://www.ebi.ac.uk/training/events/2016/structural-bioinformatics-2016,"Cambridge, UK"
2016-09-29,2016-09-30,In Silico Conference,http://www.insiliconf.org/,"San Diego, US"
2016-10-10,2016-10-14,"COLUMBUS in China - CiC An Advanced Quantum Chemistry Workshop on Multireference Methods, Energy Surface, Polyradical Systems and Excited States",http://oban.spst.tju.edu.cn/CiC/index.html,"Tianjin, China"
2016-10-12,2016-10-12,"Cheminformatics for Drug Design: Data, Models and Tools",https://www.soci.org/Events/Display-Event?EventCode=FCHEM481,"Duxford, UK"
2016-10-13,2016-10-15,4th International Bahçeşehir University (BAU) Drug Design Congress,http://baudrugdesign.com/,"Istanbul, Turkey"
2016-10-19,2016-10-19,UK-QSAR & Chemoinformatics Autumn Meeting 2016,https://www.eventbrite.co.uk/e/uk-qsar-chemoinformatics-autumn-meeting-2016-tickets-6784575849,"Sutton, UK"
2016-10-24,2016-10-28,Opentox Euro 2016,http://www.opentox.net/events/opentox-euro-2016,"Rheinfelden, Germany"
2016-10-25,2016-10-25,Nano modelling workshop,http://www.enanomapper.net/events/nano-modelling-workshop,"Rheinfelden, Germany"
2016-10-26,2016-10-28,RDKit User Group Meeting,https://www.eventbrite.com/e/5th-rdkit-user-group-meeting-tickets-22539677783,"Basel, Switzerland"
2016-11-07,2016-11-10,ESBS2016 Workshop - Excited States Simulations: Bridging Scales,http://icr-amu.cnrs.fr/tct/esbs2016/,"Marseille, France"
2016-11-20,2016-11-25,QUITEL 2016: Congress of Theoretical Chemists of Latin Expression,http://quitel2016.org.uy/en/,"Montevideo, Uruguay"
2016-12-01,2016-12-02,Australian Symposium on Computational Chemistry,http://ascc16.weebly.com/,"Perth, Australia"
2017-01-03,2017-01-07,Pacific Symposium on Biocomputing (PSB) 2017,http://psb.stanford.edu/,"Hawaii, US"
2017-02-05,2017-02-09,The 42nd Lorne Conference on Protein Structure and Function,http://www.lorneproteins.org/,"Lorne, Australia"
2017-04-21,2017-04-25,3rd Computational Chemistry (CC) Symposium,https://sites.google.com/site/cc2017iccmse/,"Thessalonki, Greece"
2017-07-11,2017-07-14,17th European Seminar on Computational Methods in Quantum Chemistry,http://www.escmqc2017.org/,"Shropshire, England"
2017-08-27,2017-09-01,11th Triennial Congress of the World Association of Theoretical and Computational Chemists,http://www.watoc2017.com/home.html,"Munich, Germany"
2015-06-25,2015-06-26,XXXI Annual Meeting of Reference Network of R+D+i on Theoretical and Computational Chemistry,http://stark.udg.edu/31xrqtc/,"Girona, Spain"
